0.88262;12.097;30.933;64.763;114.08;183.29;253.11;344.75
0.24319;0.39748;1.3449;2.6264;5.9551;19.772;61.904;121.31
2.0174;27.963;74.153;153.32;268.1;421.09;611.57;721.35
0.54688;27.781;36.609;270.2;928.56;4767.7;7067.2;6980
5.8758;131.16;500.76;1730.4;4179.8;4884.5;5316.6;5432.2
0.91712;9.4936;23.517;43.939;72.221;101.07;225.92;270.49
0.20833;0.20833;0.25;0.58333;2.8333;6.25;25;97.583
3.802;28.584;57.307;98.405;153.45;240.54;385.67;501.02
0.54644;1.3686;2.4305;4.7607;10.533;33.501;63.916;127.42
1.3829;7.3942;12.006;19.072;31.137;55.747;105.91;141.81
5.8864;73.4;129.86;197.33;283.54;404.12;581.31;698.92
3.1169;16.313;27.827;44.107;70.002;113.92;207.8;223.69
